rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,hyaluronic_acid_pct,sucrose_M,fbs_pct,human_serum_pct,methylcellulose_pct,glycerol_M,hsa_pct,dextran_pct,hes_pct,proline_M,propylene_glycol_M,peg_3350_pct,pvp_pct,dmso_M
2,84.60457176915003,77.0192710191456,15.17060150000884,0.0,2,0.2953173254839762,1.6692273557284794,,,,,,,,,,,,,,
3,84.23037993025127,76.98192828036375,14.496903299775068,0.0,2,0.3144794553734992,1.5491386334996138,,,,,,,,,,,,,,
4,83.81124912757271,75.46045246314463,16.701593328856156,0.0,4,0.2800301394654572,1.4794073797501497,0.2127312983289595,2.0400045812837445e-05,,,,,,,,,,,,
5,83.80879606108608,75.11901792404329,17.379556274085584,0.0,5,0.2726266607278163,1.456892638673419,,,3.674199272478064,0.0001993397481376,0.1582495441296857,,,,,,,,,
6,82.27447357726487,73.83513676244667,16.878673629636406,0.0,2,0.2873320632622174,1.7706975386569055,,,,,,,,,,,,,,
8,79.79907031941482,70.04695784618757,19.50422494645452,0.0,6,0.2085662480287531,1.4059814797178414,,,1.731352308566379,0.2633093111696283,,0.1743240996645352,0.198656023676687,,,,,,,
10,77.83600397574739,68.52022747401807,18.631553003458624,0.0,6,0.3077162119272845,1.4084405900369328,,,5.2875428370377335,,,0.1173127832519087,0.553679262175347,0.2923936893856682,,,,,,
11,76.94112106190474,67.03268791857481,19.816866286659863,0.0,6,0.2781196933731265,1.427215553423844,,,,0.1247743472045286,,0.3455882782492094,0.3604404913020831,,0.1630728606412592,,,,,
19,54.37737496784305,44.27506336497189,20.20462320574233,5.0,3,,,,,,4.0,,,4.0,,,,,,,0.7039549468833995
20,53.72997151636539,43.81994520345412,19.82005262582256,5.0,2,,,,,,2.0,,,,,,,,,,0.7039549468833995
